ts,symbol,best_bid_price,best_bid_size,best_ask_price,best_ask_size
2025-12-25T23:18:20.547255,ETHUSDT,2923.70,89.12,2923.71,5.55
2025-12-25T23:18:20.560257,ETHUSDT,2923.70,141.05,2923.71,10.84
2025-12-25T23:18:20.564820,ETHUSDT,2923.70,144.47,2923.71,9.85
2025-12-25T23:18:20.605694,ETHUSDT,2923.70,144.47,2923.71,9.81
2025-12-25T23:18:20.619355,ETHUSDT,2923.70,144.47,2923.71,8.89
2025-12-25T23:18:20.624985,ETHUSDT,2923.70,150.79,2923.71,8.75
2025-12-25T23:18:20.634981,ETHUSDT,2923.70,150.85,2923.71,8.75
2025-12-25T23:18:20.645133,ETHUSDT,2923.70,153.79,2923.71,8.75
2025-12-25T23:18:20.659918,ETHUSDT,2923.70,153.79,2923.71,10.64
2025-12-25T23:18:20.666122,ETHUSDT,2923.70,157.68,2923.71,10.64
2025-12-25T23:18:20.684103,ETHUSDT,2923.70,157.68,2923.71,10.57
2025-12-25T23:18:20.694948,ETHUSDT,2923.70,169.13,2923.71,10.57
2025-12-25T23:18:20.725719,ETHUSDT,2923.70,169.13,2923.71,10.34
2025-12-25T23:18:20.745588,ETHUSDT,2923.70,164.60,2923.71,7.73
2025-12-25T23:18:20.757453,ETHUSDT,2923.70,164.60,2923.71,7.67
2025-12-25T23:18:20.775544,ETHUSDT,2923.70,164.60,2923.71,7.51
2025-12-25T23:18:20.794822,ETHUSDT,2923.70,162.32,2923.71,7.51
2025-12-25T23:18:20.875411,ETHUSDT,2923.70,160.72,2923.71,7.51
2025-12-25T23:18:20.884929,ETHUSDT,2923.70,157.72,2923.71,7.51
2025-12-25T23:18:20.895330,ETHUSDT,2923.70,157.78,2923.71,7.51
2025-12-25T23:18:20.904592,ETHUSDT,2923.70,157.72,2923.71,7.51
2025-12-25T23:18:20.976087,ETHUSDT,2923.70,168.62,2923.71,7.51
2025-12-25T23:18:20.995394,ETHUSDT,2923.70,168.96,2923.71,7.51
2025-12-25T23:18:21.015450,ETHUSDT,2923.70,168.96,2923.71,4.81
2025-12-25T23:18:21.028864,ETHUSDT,2923.70,171.00,2923.71,2.85
2025-12-25T23:18:21.035264,ETHUSDT,2923.79,13.61,2923.80,0.02
2025-12-25T23:18:21.044775,ETHUSDT,2923.81,8.25,2923.82,0.02
2025-12-25T23:18:21.060516,ETHUSDT,2923.86,16.24,2923.87,0.02
2025-12-25T23:18:21.064622,ETHUSDT,2923.88,67.12,2923.89,0.01
2025-12-25T23:18:21.075168,ETHUSDT,2923.90,41.71,2923.91,0.01
2025-12-25T23:18:21.085026,ETHUSDT,2923.92,109.08,2923.93,0.36
2025-12-25T23:18:21.095230,ETHUSDT,2923.92,123.16,2923.93,0.36
2025-12-25T23:18:21.105302,ETHUSDT,2923.92,121.89,2923.93,0.36
2025-12-25T23:18:21.116032,ETHUSDT,2923.92,121.89,2923.93,0.54
2025-12-25T23:18:21.185531,ETHUSDT,2923.92,121.89,2923.93,0.44
2025-12-25T23:18:21.225857,ETHUSDT,2923.92,124.14,2923.93,0.44
2025-12-25T23:18:21.256458,ETHUSDT,2923.92,124.14,2923.93,0.58
2025-12-25T23:18:21.324716,ETHUSDT,2923.92,124.14,2923.93,0.46
2025-12-25T23:18:21.405355,ETHUSDT,2923.92,124.14,2923.93,0.59
2025-12-25T23:18:21.424734,ETHUSDT,2923.92,124.17,2923.93,0.59
2025-12-25T23:18:21.475351,ETHUSDT,2923.92,124.17,2923.93,0.47
2025-12-25T23:18:21.545394,ETHUSDT,2923.92,124.17,2923.93,0.59
2025-12-25T23:18:21.615561,ETHUSDT,2923.92,124.17,2923.93,0.47
2025-12-25T23:18:21.685063,ETHUSDT,2923.92,124.17,2923.93,0.59
2025-12-25T23:18:21.773134,ETHUSDT,2923.92,124.17,2923.93,0.47
2025-12-25T23:18:21.835496,ETHUSDT,2923.92,124.17,2923.93,0.59
2025-12-25T23:18:21.907554,ETHUSDT,2923.92,124.17,2923.93,0.47
2025-12-25T23:18:21.958988,ETHUSDT,2923.92,124.34,2923.93,0.47
2025-12-25T23:18:21.977101,ETHUSDT,2923.92,124.34,2923.93,0.59
2025-12-25T23:18:21.997852,ETHUSDT,2923.92,124.34,2923.93,5.44
2025-12-25T23:18:22.007922,ETHUSDT,2923.92,123.26,2923.93,11.93
2025-12-25T23:18:22.047210,ETHUSDT,2923.92,123.26,2923.93,5.44
2025-12-25T23:18:22.056461,ETHUSDT,2923.92,123.26,2923.93,5.38
2025-12-25T23:18:22.125522,ETHUSDT,2923.92,123.26,2923.93,7.09
2025-12-25T23:18:22.195878,ETHUSDT,2923.92,123.26,2923.93,6.95
2025-12-25T23:18:22.345866,ETHUSDT,2923.92,123.26,2923.93,2.10
2025-12-25T23:18:22.375672,ETHUSDT,2923.92,122.26,2923.93,2.10
2025-12-25T23:18:22.435266,ETHUSDT,2923.92,122.26,2923.93,0.53
2025-12-25T23:18:22.505626,ETHUSDT,2923.92,122.26,2923.93,1.32
2025-12-25T23:18:22.525907,ETHUSDT,2923.92,125.26,2923.93,1.32
2025-12-25T23:18:22.578963,ETHUSDT,2923.92,125.26,2923.93,0.36
2025-12-25T23:18:22.614862,ETHUSDT,2923.92,125.26,2923.93,5.21
2025-12-25T23:18:22.655399,ETHUSDT,2923.92,125.26,2923.93,5.86
2025-12-25T23:18:22.666672,ETHUSDT,2923.92,122.36,2923.93,5.86
2025-12-25T23:18:22.676170,ETHUSDT,2923.92,122.36,2923.93,12.35
2025-12-25T23:18:22.685026,ETHUSDT,2923.92,122.36,2923.93,21.28
2025-12-25T23:18:22.725827,ETHUSDT,2923.92,122.36,2923.93,16.02
2025-12-25T23:18:22.775786,ETHUSDT,2923.92,92.13,2923.93,16.02
2025-12-25T23:18:22.844875,ETHUSDT,2923.92,61.57,2923.93,16.02
2025-12-25T23:18:22.856908,ETHUSDT,2923.92,55.93,2923.93,21.92
2025-12-25T23:18:22.864795,ETHUSDT,2923.92,24.94,2923.93,36.15
2025-12-25T23:18:22.875104,ETHUSDT,2923.92,18.72,2923.93,36.15
2025-12-25T23:18:22.894869,ETHUSDT,2923.92,8.78,2923.93,36.15
2025-12-25T23:18:23.016228,ETHUSDT,2923.92,8.78,2923.93,36.31
2025-12-25T23:18:23.025197,ETHUSDT,2923.92,15.27,2923.93,36.31
2025-12-25T23:18:23.095886,ETHUSDT,2923.92,15.27,2923.93,36.15
2025-12-25T23:18:23.276101,ETHUSDT,2923.92,26.37,2923.93,36.15
2025-12-25T23:18:23.284833,ETHUSDT,2923.92,27.37,2923.93,22.61
2025-12-25T23:18:23.325096,ETHUSDT,2923.92,27.37,2923.93,21.92
2025-12-25T23:18:24.203593,ETHUSDT,2923.92,22.52,2923.93,21.92
2025-12-25T23:18:24.204230,ETHUSDT,2923.92,27.37,2923.93,21.92
2025-12-25T23:18:24.245758,ETHUSDT,2923.92,22.52,2923.93,21.92
2025-12-25T23:18:24.305293,ETHUSDT,2923.92,27.37,2923.93,21.92
2025-12-25T23:18:24.325488,ETHUSDT,2923.92,25.88,2923.93,21.92
2025-12-25T23:18:24.335543,ETHUSDT,2923.92,21.04,2923.93,21.92
2025-12-25T23:18:24.344800,ETHUSDT,2923.92,21.06,2923.93,21.92
2025-12-25T23:18:24.354848,ETHUSDT,2923.92,21.06,2923.93,22.08
2025-12-25T23:18:24.586294,ETHUSDT,2923.92,31.41,2923.93,22.08
